"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"60","OPC","astrocytes","WNT5A","FZD8",1.23794674292958e-06,0,"WNT5A_FZD8","WNT5A - FZD8","ncWNT","Secreted Signaling","KEGG: hsa04310"
"61","microglia","endothelial","WNT5A","MCAM",9.73694395275279e-06,0.03,"WNT5A_MCAM","WNT5A - MCAM","ncWNT","Secreted Signaling","PMID: 24335906"
"62","OPC","endothelial","WNT5A","MCAM",2.92004575532157e-05,0.04,"WNT5A_MCAM","WNT5A - MCAM","ncWNT","Secreted Signaling","PMID: 24335906"
"63","microglia","oligodendrocytes","WNT5A","MCAM",7.83314597569384e-05,0,"WNT5A_MCAM","WNT5A - MCAM","ncWNT","Secreted Signaling","PMID: 24335906"
"64","OPC","oligodendrocytes","WNT5A","MCAM",0.000234878714457697,0,"WNT5A_MCAM","WNT5A - MCAM","ncWNT","Secreted Signaling","PMID: 24335906"
"65","microglia","OPC","WNT5A","MCAM",5.60792723258283e-06,0.03,"WNT5A_MCAM","WNT5A - MCAM","ncWNT","Secreted Signaling","PMID: 24335906"
"66","OPC","OPC","WNT5A","MCAM",1.68179454972135e-05,0.04,"WNT5A_MCAM","WNT5A - MCAM","ncWNT","Secreted Signaling","PMID: 24335906"
"67","OPC","astrocytes","TGFA","EGFR",2.05692690722728e-05,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"68","OPC","endothelial","TGFA","EGFR",4.16261514101293e-07,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"69","OPC","neurons","TGFA","EGFR",9.68846638371537e-06,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"70","OPC","OPC","TGFA","EGFR",3.9542527089582e-06,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"71","OPC","astrocytes","TGFA","EGFR_ERBB2",9.40492672505491e-06,0,"TGFA_EGFR_ERBB2","TGFA - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"72","endothelial","astrocytes","HBEGF","EGFR",0.000814434859111488,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"73","microglia","astrocytes","HBEGF","EGFR",1.75071081556361e-05,0.03,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"74","oligodendrocytes","astrocytes","HBEGF","EGFR",9.79157552400228e-05,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"75","endothelial","neurons","HBEGF","EGFR",0.00038377347243499,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"76","oligodendrocytes","neurons","HBEGF","EGFR",4.61218294291404e-05,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"77","endothelial","OPC","HBEGF","EGFR",0.000156668073379131,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
